FECHA (YYMMDD);HORA (HHMM);
180227;1300;1,6
180227;1400;1,9
180227;1500;2,2
180227;1600;4
180227;1700;3,8
180227;1800;3
180227;1900;2
180227;2000;1,4
180227;2100;1,2
180227;2200;0,9
180227;2300;0,9
180228;0;0,6
180228;100;0,5
180228;200;0,6
180228;300;0,7
180228;400;1
180228;500;0,4
180228;600;0,6
180228;700;0,6
180228;800;0,5
180228;900;0,4
180228;1000;0,8
180228;1100;1,6
180228;1200;1,8
180228;1300;2,1
180228;1400;2,6
180228;1500;4,1
180228;1600;3,4
180228;1700;2,9
180228;1800;2,6
180228;1900;2,5
180228;2000;1,1
180228;2100;0,9
180228;2200;0,7
180228;2300;0,6
180301;0;0,3
180301;100;0,5
180301;200;0,1
180301;300;
180301;400;0,2
180301;500;0,3
180301;600;0,2
180301;700;0
180301;800;0,5
180301;900;0,9
180301;1000;1,3
180301;1100;1,7
180301;1200;1,8
180301;1300;1,7
180301;1400;2,1
180301;1500;2,1
180301;1600;2,5
180301;1700;4
180301;1800;3,5
180301;1900;2,3
180301;2000;1,6
180301;2100;1,4
180301;2200;1,1
180301;2300;0,9
180302;0;0,7
180302;100;0,4
180302;200;0,7
180302;300;0,7
180302;400;1,2
180302;500;0,8
180302;600;0,7
180302;700;0,6
180302;800;0,7
180302;900;1,2
180302;1000;1,2
180302;1100;1,3
180302;1200;1,2
180302;1300;1,7
180302;1400;2,2
180302;1500;4,4
180302;1600;4
180302;1700;3,8
180302;1800;3,1
180302;1900;1,8
180302;2000;1,9
180302;2100;1,6
180302;2200;1,2
180302;2300;0,8
180303;0;0,8
180303;100;0,7
180303;200;0,7
180303;300;0,5
180303;400;0,5
180303;500;0,7
180303;600;1,1
180303;700;0,6
180303;800;0,8
180303;900;1
180303;1000;1,1
180303;1100;1,2
180303;1200;1,6
180303;1300;2
180303;1400;2,4
180303;1500;3,6
180303;1600;3,7
180303;1700;3,3
180303;1800;3,7
180303;1900;2,1
